mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,split13_train_accuracy,split14_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,split13_test_precision_macro,split14_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,split13_train_precision_macro,split14_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,split10_test_recall_macro,split11_test_recall_macro,split12_test_recall_macro,split13_test_recall_macro,split14_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,split1_train_recall_macro,split2_train_recall_macro,split3_train_recall_macro,split4_train_recall_macro,split5_train_recall_macro,split6_train_recall_macro,split7_train_recall_macro,split8_train_recall_macro,split9_train_recall_macro,split10_train_recall_macro,split11_train_recall_macro,split12_train_recall_macro,split13_train_recall_macro,split14_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,split10_test_f1_macro,split11_test_f1_macro,split12_test_f1_macro,split13_test_f1_macro,split14_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,split5_train_f1_macro,split6_train_f1_macro,split7_train_f1_macro,split8_train_f1_macro,split9_train_f1_macro,split10_train_f1_macro,split11_train_f1_macro,split12_train_f1_macro,split13_train_f1_macro,split14_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.05322759946187337,0.007790770202622147,0.008231608072916667,0.0010966262249575496,log_loss,5,"{'classifier__criterion': 'log_loss', 'classifier__max_depth': 5}",0.3333333333333333,0.4166666666666667,0.3333333333333333,0.375,0.3958333333333333,0.2916666666666667,0.375,0.3125,0.375,0.4375,0.25,0.2708333333333333,0.3333333333333333,0.4583333333333333,0.3541666666666667,0.35416666666666663,0.05743353646704259,17,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.96875,0.9583333333333334,0.9791666666666666,0.9270833333333334,0.9375,0.9583333333333334,0.96875,0.9166666666666666,0.9895833333333334,0.9479166666666666,0.9270833333333334,0.9555555555555556,0.020293943328058967,0.34791666666666665,0.5119791666666667,0.34791666666666665,0.30989583333333337,0.29910714285714285,0.2177579365079365,0.4458333333333333,0.2537202380952381,0.3474702380952381,0.45407196969696967,0.24999999999999997,0.19895833333333335,0.29375,0.578125,0.3574404761904762,0.3475962000962001,0.1049478811637006,17,0.9821428571428572,0.9642857142857143,0.9702380952380952,0.9665178571428572,0.9754464285714286,0.9627976190476191,0.9821428571428572,0.9537337662337663,0.9430803571428572,0.9665178571428572,0.9732142857142858,0.9385416666666666,0.9910714285714286,0.9577380952380953,0.9434523809523809,0.9647280844155847,0.014843295238189565,0.33333333333333326,0.41666666666666663,0.3333333333333333,0.375,0.3958333333333333,0.29166666666666663,0.375,0.3125,0.375,0.43749999999999994,0.24999999999999997,0.2708333333333333,0.3333333333333333,0.45833333333333326,0.35416666666666663,0.35416666666666663,0.057433536467042585,17,0.9791666666666666,0.9583333333333333,0.9583333333333333,0.9583333333333334,0.96875,0.9583333333333334,0.9791666666666666,0.9270833333333334,0.9375,0.9583333333333334,0.96875,0.9166666666666666,0.9895833333333334,0.9479166666666667,0.9270833333333334,0.9555555555555556,0.020293943328058964,0.31626984126984126,0.4171176046176046,0.319047619047619,0.324120670995671,0.3375,0.2361111111111111,0.3717261904761905,0.27157738095238093,0.35416666666666663,0.4091269841269841,0.24265873015873016,0.22544642857142855,0.30625,0.46874999999999994,0.33560744810744814,0.3290317784067784,0.06693092313980596,17,0.9778846153846155,0.9557692307692308,0.9588286713286713,0.9587287712287713,0.9692182817182817,0.9589889277389277,0.9778846153846155,0.9159957689369455,0.9361638361638362,0.9587287712287713,0.9673951048951049,0.9171130952380953,0.9895104895104896,0.9486013986013986,0.9247086247086247,0.9543680135224253,0.021474356518447986
0.04562671979268392,0.007859920948460115,0.007300964991251628,0.0009987911364801804,log_loss,6,"{'classifier__criterion': 'log_loss', 'classifier__max_depth': 6}",0.3958333333333333,0.4375,0.3541666666666667,0.3958333333333333,0.3958333333333333,0.2916666666666667,0.375,0.3541666666666667,0.375,0.375,0.4166666666666667,0.3958333333333333,0.2916666666666667,0.5,0.375,0.3819444444444445,0.04969039949999532,1,1.0,1.0,1.0,1.0,0.9895833333333334,1.0,1.0,0.9895833333333334,1.0,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9895833333333334,0.9951388888888889,0.007479395565464593,0.44970238095238096,0.5192708333333333,0.4739583333333333,0.37777777777777777,0.375,0.2394345238095238,0.4355654761904762,0.365625,0.33923611111111107,0.4243055555555555,0.346875,0.3375,0.271875,0.5743055555555555,0.375,0.3936954365079365,0.08538192307162985,1,1.0,1.0,1.0,1.0,0.9910714285714286,1.0,1.0,0.9910714285714286,1.0,1.0,1.0,0.984375,1.0,0.9821428571428572,0.9910714285714286,0.9959821428571429,0.006110257490371358,0.39583333333333326,0.4375,0.35416666666666663,0.3958333333333333,0.39583333333333337,0.29166666666666663,0.375,0.35416666666666663,0.375,0.375,0.41666666666666663,0.3958333333333333,0.29166666666666663,0.49999999999999994,0.37499999999999994,0.3819444444444445,0.04969039949999533,1,1.0,1.0,1.0,1.0,0.9895833333333334,1.0,1.0,0.9895833333333334,1.0,1.0,1.0,0.9791666666666666,1.0,0.9791666666666667,0.9895833333333334,0.9951388888888889,0.007479395565464579,0.3701388888888889,0.4315521284271285,0.38035714285714284,0.3727678571428571,0.3748015873015873,0.2501488095238095,0.3694940476190476,0.33963293650793647,0.3476190476190476,0.35714285714285715,0.35875686813186813,0.34047619047619043,0.27544642857142854,0.49017857142857135,0.34492521367521367,0.3602292383542383,0.05382543663552688,1,1.0,1.0,1.0,1.0,0.9895104895104896,1.0,1.0,0.9895104895104896,1.0,1.0,1.0,0.9785714285714285,1.0,0.9790209790209791,0.9895104895104896,0.9950749250749251,0.0075962580277933005
0.058026695251464845,0.004529710818224776,0.008703883488972981,0.00046029733679716023,log_loss,7,"{'classifier__criterion': 'log_loss', 'classifier__max_depth': 7}",0.3958333333333333,0.4375,0.3541666666666667,0.3958333333333333,0.3958333333333333,0.2916666666666667,0.375,0.3333333333333333,0.375,0.375,0.4166666666666667,0.3333333333333333,0.2916666666666667,0.4583333333333333,0.375,0.37361111111111106,0.04593843169039229,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44970238095238096,0.5192708333333333,0.4739583333333333,0.37777777777777777,0.40625,0.2394345238095238,0.4355654761904762,0.28541666666666665,0.33923611111111107,0.4243055555555555,0.346875,0.296875,0.271875,0.559375,0.3625,0.3858945105820106,0.08975979941041141,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39583333333333326,0.4375,0.35416666666666663,0.3958333333333333,0.3958333333333333,0.29166666666666663,0.375,0.3333333333333333,0.375,0.375,0.41666666666666663,0.3333333333333333,0.29166666666666663,0.45833333333333326,0.375,0.37361111111111106,0.0459384316903923,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3701388888888889,0.4315521284271285,0.38035714285714284,0.3727678571428571,0.3762896825396825,0.2501488095238095,0.3694940476190476,0.3040674603174603,0.3476190476190476,0.35714285714285715,0.35875686813186813,0.28750901875901874,0.27544642857142854,0.46424512987012984,0.3553991147741148,0.35339563214563213,0.05425394295057912,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.048079824447631835,0.008694879356397232,0.0076947848002115885,0.0014582492454248543,log_loss,8,"{'classifier__criterion': 'log_loss', 'classifier__max_depth': 8}",0.3958333333333333,0.4375,0.3541666666666667,0.3958333333333333,0.3958333333333333,0.2916666666666667,0.375,0.3333333333333333,0.375,0.375,0.4166666666666667,0.3333333333333333,0.2916666666666667,0.4583333333333333,0.375,0.37361111111111106,0.04593843169039229,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44970238095238096,0.5192708333333333,0.4739583333333333,0.37777777777777777,0.40625,0.2394345238095238,0.4355654761904762,0.28541666666666665,0.33923611111111107,0.4243055555555555,0.346875,0.296875,0.271875,0.559375,0.3625,0.3858945105820106,0.08975979941041141,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39583333333333326,0.4375,0.35416666666666663,0.3958333333333333,0.3958333333333333,0.29166666666666663,0.375,0.3333333333333333,0.375,0.375,0.41666666666666663,0.3333333333333333,0.29166666666666663,0.45833333333333326,0.375,0.37361111111111106,0.0459384316903923,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3701388888888889,0.4315521284271285,0.38035714285714284,0.3727678571428571,0.3762896825396825,0.2501488095238095,0.3694940476190476,0.3040674603174603,0.3476190476190476,0.35714285714285715,0.35875686813186813,0.28750901875901874,0.27544642857142854,0.46424512987012984,0.3553991147741148,0.35339563214563213,0.05425394295057912,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05706674257914225,0.025691546749667473,0.009031422932942708,0.0024861425818797933,log_loss,9,"{'classifier__criterion': 'log_loss', 'classifier__max_depth': 9}",0.3958333333333333,0.4375,0.3541666666666667,0.3958333333333333,0.3958333333333333,0.2916666666666667,0.375,0.3333333333333333,0.375,0.375,0.4166666666666667,0.3333333333333333,0.2916666666666667,0.4583333333333333,0.375,0.37361111111111106,0.04593843169039229,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44970238095238096,0.5192708333333333,0.4739583333333333,0.37777777777777777,0.40625,0.2394345238095238,0.4355654761904762,0.28541666666666665,0.33923611111111107,0.4243055555555555,0.346875,0.296875,0.271875,0.559375,0.3625,0.3858945105820106,0.08975979941041141,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39583333333333326,0.4375,0.35416666666666663,0.3958333333333333,0.3958333333333333,0.29166666666666663,0.375,0.3333333333333333,0.375,0.375,0.41666666666666663,0.3333333333333333,0.29166666666666663,0.45833333333333326,0.375,0.37361111111111106,0.0459384316903923,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3701388888888889,0.4315521284271285,0.38035714285714284,0.3727678571428571,0.3762896825396825,0.2501488095238095,0.3694940476190476,0.3040674603174603,0.3476190476190476,0.35714285714285715,0.35875686813186813,0.28750901875901874,0.27544642857142854,0.46424512987012984,0.3553991147741148,0.35339563214563213,0.05425394295057912,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.059682703018188475,0.016678857620101892,0.008219416936238606,0.0017311274397314655,log_loss,10,"{'classifier__criterion': 'log_loss', 'classifier__max_depth': 10}",0.3958333333333333,0.4375,0.3541666666666667,0.3958333333333333,0.3958333333333333,0.2916666666666667,0.375,0.3333333333333333,0.375,0.375,0.4166666666666667,0.3333333333333333,0.2916666666666667,0.4583333333333333,0.375,0.37361111111111106,0.04593843169039229,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44970238095238096,0.5192708333333333,0.4739583333333333,0.37777777777777777,0.40625,0.2394345238095238,0.4355654761904762,0.28541666666666665,0.33923611111111107,0.4243055555555555,0.346875,0.296875,0.271875,0.559375,0.3625,0.3858945105820106,0.08975979941041141,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39583333333333326,0.4375,0.35416666666666663,0.3958333333333333,0.3958333333333333,0.29166666666666663,0.375,0.3333333333333333,0.375,0.375,0.41666666666666663,0.3333333333333333,0.29166666666666663,0.45833333333333326,0.375,0.37361111111111106,0.0459384316903923,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3701388888888889,0.4315521284271285,0.38035714285714284,0.3727678571428571,0.3762896825396825,0.2501488095238095,0.3694940476190476,0.3040674603174603,0.3476190476190476,0.35714285714285715,0.35875686813186813,0.28750901875901874,0.27544642857142854,0.46424512987012984,0.3553991147741148,0.35339563214563213,0.05425394295057912,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
