mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,split13_train_accuracy,split14_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,split13_test_precision_macro,split14_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,split13_train_precision_macro,split14_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,split10_test_recall_macro,split11_test_recall_macro,split12_test_recall_macro,split13_test_recall_macro,split14_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,split1_train_recall_macro,split2_train_recall_macro,split3_train_recall_macro,split4_train_recall_macro,split5_train_recall_macro,split6_train_recall_macro,split7_train_recall_macro,split8_train_recall_macro,split9_train_recall_macro,split10_train_recall_macro,split11_train_recall_macro,split12_train_recall_macro,split13_train_recall_macro,split14_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,split10_test_f1_macro,split11_test_f1_macro,split12_test_f1_macro,split13_test_f1_macro,split14_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,split5_train_f1_macro,split6_train_f1_macro,split7_train_f1_macro,split8_train_f1_macro,split9_train_f1_macro,split10_train_f1_macro,split11_train_f1_macro,split12_train_f1_macro,split13_train_f1_macro,split14_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.007294019063313802,0.0028500897900102383,0.037079111735026045,0.011914535986269384,1,uniform,"{'classifier__n_neighbors': 1, 'classifier__weights': 'uniform'}",0.5208333333333334,0.625,0.6666666666666666,0.625,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.6875,0.625,0.5833333333333334,0.5416666666666666,0.6041666666666666,0.6458333333333334,0.5625,0.6666666666666666,0.6152777777777777,0.056859693029052,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5953124999999999,0.7052083333333333,0.7239583333333333,0.7151785714285714,0.6427083333333332,0.6604166666666667,0.7395833333333333,0.6510416666666666,0.7250000000000001,0.6,0.553125,0.6209821428571428,0.7291666666666666,0.6235119047619047,0.6822916666666666,0.6644990079365077,0.05606835900575306,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5208333333333333,0.625,0.6666666666666666,0.625,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.6875,0.625,0.5833333333333333,0.5416666666666666,0.6041666666666666,0.6458333333333333,0.5625,0.6666666666666666,0.6152777777777777,0.05685969302905201,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5363636363636364,0.6114583333333333,0.6607142857142857,0.64375,0.546875,0.5916666666666667,0.7279761904761904,0.6565476190476189,0.6331845238095238,0.5727678571428572,0.5299107142857142,0.5892857142857142,0.6328869047619048,0.5607142857142857,0.659077380952381,0.6102119408369407,0.05395635190292595,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0049190521240234375,0.0010132514164490586,0.012026151021321615,0.002317482426471076,1,distance,"{'classifier__n_neighbors': 1, 'classifier__weights': 'distance'}",0.5208333333333334,0.625,0.6666666666666666,0.625,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.6875,0.625,0.5833333333333334,0.5416666666666666,0.6041666666666666,0.6458333333333334,0.5625,0.6666666666666666,0.6152777777777777,0.056859693029052,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5953124999999999,0.7052083333333333,0.7239583333333333,0.7151785714285714,0.6427083333333332,0.6604166666666667,0.7395833333333333,0.6510416666666666,0.7250000000000001,0.6,0.553125,0.6209821428571428,0.7291666666666666,0.6235119047619047,0.6822916666666666,0.6644990079365077,0.05606835900575306,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5208333333333333,0.625,0.6666666666666666,0.625,0.5416666666666666,0.6041666666666666,0.7291666666666666,0.6875,0.625,0.5833333333333333,0.5416666666666666,0.6041666666666666,0.6458333333333333,0.5625,0.6666666666666666,0.6152777777777777,0.05685969302905201,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5363636363636364,0.6114583333333333,0.6607142857142857,0.64375,0.546875,0.5916666666666667,0.7279761904761904,0.6565476190476189,0.6331845238095238,0.5727678571428572,0.5299107142857142,0.5892857142857142,0.6328869047619048,0.5607142857142857,0.659077380952381,0.6102119408369407,0.05395635190292595,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004535881678263346,0.000878407858299962,0.013897180557250977,0.002120874199911295,3,uniform,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.4166666666666667,0.5416666666666666,0.5208333333333334,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5625,0.5625,0.5416666666666666,0.4791666666666667,0.5208333333333334,0.3958333333333333,0.4791666666666667,0.625,0.5833333333333334,0.5222222222222223,0.057668165255629705,5,0.75,0.7291666666666666,0.75,0.7083333333333334,0.7604166666666666,0.7395833333333334,0.71875,0.71875,0.7395833333333334,0.7291666666666666,0.8333333333333334,0.7604166666666666,0.7604166666666666,0.78125,0.6979166666666666,0.7451388888888888,0.03201983856499585,0.40639880952380947,0.5640376984126984,0.5520833333333334,0.6151041666666667,0.546577380952381,0.47991071428571425,0.5148065476190476,0.5494791666666667,0.5760416666666667,0.5074404761904762,0.43303571428571425,0.3614583333333333,0.4989583333333333,0.653125,0.6041666666666666,0.5241749338624339,0.07707677753361337,6,0.7685267857142857,0.7852678571428572,0.7963541666666667,0.7802083333333333,0.8267992424242424,0.7391140109890111,0.7768601190476191,0.7741319444444444,0.7970238095238096,0.7206101190476191,0.8611607142857143,0.8371031746031746,0.8081980519480519,0.8347241300366302,0.7719358766233766,0.7918678890553892,0.03627671812059658,0.41666666666666663,0.5416666666666666,0.5208333333333333,0.5416666666666666,0.5416666666666666,0.5208333333333333,0.5625,0.5625,0.5416666666666666,0.47916666666666663,0.5208333333333333,0.3958333333333333,0.47916666666666663,0.625,0.5833333333333333,0.5222222222222223,0.057668165255629705,5,0.75,0.7291666666666667,0.75,0.7083333333333334,0.7604166666666667,0.7395833333333334,0.71875,0.71875,0.7395833333333333,0.7291666666666667,0.8333333333333334,0.7604166666666667,0.7604166666666666,0.78125,0.6979166666666667,0.7451388888888888,0.03201983856499584,0.3763888888888889,0.5046130952380952,0.48539377289377283,0.5215680153180153,0.4978174603174603,0.4799107142857143,0.4818587662337662,0.5098349567099567,0.5215367965367965,0.4607142857142857,0.4555059523809524,0.35524267399267395,0.46051587301587305,0.5877747252747253,0.5348214285714286,0.4822331603581603,0.05627095673187489,6,0.7221247502497503,0.725303169053169,0.7263278388278388,0.7077854437229437,0.7489426831338596,0.7129293951662372,0.7106003371628371,0.7027191558441559,0.7262622793872793,0.7042998667998668,0.8307910839160839,0.763359557109557,0.7303012551174316,0.7826326086194507,0.6849935603612074,0.731958198964778,0.03563367974533998
0.004527839024861654,0.0011349640231837976,0.0109374205271403,0.001614476441859324,3,distance,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.5,0.6875,0.6666666666666666,0.625,0.5833333333333334,0.6041666666666666,0.7083333333333334,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.625,0.5833333333333334,0.5833333333333334,0.7291666666666666,0.6125,0.06579288490181673,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5598958333333333,0.7479166666666667,0.6979166666666666,0.6714285714285715,0.6510416666666666,0.6354166666666666,0.7239583333333333,0.640625,0.5791666666666666,0.5322916666666666,0.5541666666666667,0.6385416666666666,0.7104166666666667,0.625,0.7104166666666667,0.6452132936507937,0.06429240615584209,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.6875,0.6666666666666666,0.625,0.5833333333333333,0.6041666666666666,0.7083333333333333,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.625,0.5833333333333333,0.5833333333333333,0.7291666666666666,0.6125,0.06579288490181673,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5179112554112554,0.6831845238095238,0.6494047619047618,0.6109623015873016,0.5931547619047619,0.5876488095238095,0.706547619047619,0.6416666666666666,0.5474702380952381,0.5197916666666667,0.5291666666666667,0.6174603174603175,0.5895833333333333,0.5790178571428573,0.7050595238095239,0.6052020202020202,0.06066435910461133,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00432896614074707,0.0003962191324681785,0.013827943801879882,0.002229205024076715,5,uniform,"{'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.3541666666666667,0.5208333333333334,0.5208333333333334,0.5,0.5625,0.4583333333333333,0.5208333333333334,0.4583333333333333,0.4166666666666667,0.4791666666666667,0.5,0.3541666666666667,0.3958333333333333,0.4375,0.5625,0.46944444444444444,0.06493705404200534,9,0.7708333333333334,0.6770833333333334,0.7395833333333334,0.6354166666666666,0.6666666666666666,0.6875,0.6354166666666666,0.75,0.6979166666666666,0.6770833333333334,0.7708333333333334,0.71875,0.71875,0.6458333333333334,0.6979166666666666,0.6993055555555555,0.04351236166061263,0.290625,0.5669642857142857,0.5251488095238095,0.4538690476190476,0.5677083333333333,0.4125,0.39947916666666666,0.4875,0.4510416666666667,0.488095238095238,0.3979166666666667,0.421875,0.5028273809523809,0.4101190476190476,0.5715277777777779,0.4631464947089947,0.07548829672365187,11,0.8104166666666667,0.7652281746031746,0.8052083333333333,0.7087549603174603,0.7378777472527472,0.7197916666666666,0.6916914682539682,0.8099702380952382,0.711097582972583,0.6777300824175825,0.8330853174603174,0.8107007575757575,0.7613839285714286,0.7479967948717949,0.7754769536019536,0.7577607115107116,0.047532679418472445,0.35416666666666663,0.5208333333333333,0.5208333333333333,0.5,0.5625,0.45833333333333326,0.5208333333333333,0.45833333333333326,0.41666666666666663,0.47916666666666663,0.5,0.35416666666666663,0.39583333333333326,0.4375,0.5625,0.46944444444444444,0.06493705404200535,9,0.7708333333333334,0.6770833333333334,0.7395833333333333,0.6354166666666667,0.6666666666666666,0.6875,0.6354166666666666,0.75,0.6979166666666666,0.6770833333333333,0.7708333333333334,0.71875,0.71875,0.6458333333333334,0.6979166666666667,0.6993055555555555,0.04351236166061261,0.30739087301587303,0.4986111111111111,0.4930059523809524,0.44107142857142856,0.5265873015873015,0.4214285714285714,0.4319579725829725,0.4236950549450549,0.39705815018315016,0.45997023809523807,0.42569444444444443,0.35357142857142854,0.3987689393939394,0.37979624542124546,0.5175595238095239,0.43174448236948243,0.05901357718772563,10,0.7573322510822511,0.665063061938062,0.7353736541236541,0.626079822954823,0.6593162320136005,0.6723755411255411,0.6244432650682652,0.7492361804861805,0.6735164957591429,0.6434051693920115,0.7585581085581086,0.7105967765894237,0.6916389166389166,0.6422518727617411,0.7011129769353452,0.6873533550284712,0.04489022818748813
0.004507811864217123,0.0007667911966324798,0.011567131678263346,0.0017715595909452004,5,distance,"{'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.4583333333333333,0.6041666666666666,0.625,0.5833333333333334,0.6041666666666666,0.5416666666666666,0.625,0.6041666666666666,0.5,0.5208333333333334,0.5625,0.5625,0.5625,0.5208333333333334,0.625,0.5666666666666667,0.04882887730901929,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5489583333333333,0.7072916666666667,0.6791666666666667,0.6197916666666666,0.6333333333333333,0.5291666666666667,0.571875,0.6416666666666666,0.5104166666666666,0.5531250000000001,0.5322916666666666,0.6168154761904762,0.6333333333333333,0.5870535714285714,0.6666666666666666,0.6020634920634921,0.05783905085976757,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.45833333333333326,0.6041666666666666,0.625,0.5833333333333333,0.6041666666666666,0.5416666666666666,0.625,0.6041666666666666,0.5,0.5208333333333333,0.5625,0.5625,0.5625,0.5208333333333333,0.625,0.5666666666666667,0.0488288773090193,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4583333333333333,0.6025297619047619,0.6211309523809523,0.5660714285714286,0.5821428571428571,0.5139880952380953,0.5825892857142858,0.5893353174603174,0.4831845238095238,0.49379960317460314,0.5319940476190477,0.5601190476190476,0.5596726190476191,0.5116071428571429,0.6078869047619048,0.5509589947089946,0.04787029544242524,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004361979166666667,0.0006382548567547372,0.014843908945719402,0.002042543880852449,7,uniform,"{'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.3958333333333333,0.4791666666666667,0.5208333333333334,0.3958333333333333,0.4583333333333333,0.4375,0.5416666666666666,0.5416666666666666,0.375,0.4166666666666667,0.3958333333333333,0.3541666666666667,0.3958333333333333,0.4583333333333333,0.5,0.4444444444444444,0.059252025021393165,12,0.6875,0.6145833333333334,0.6458333333333334,0.625,0.59375,0.6666666666666666,0.625,0.6354166666666666,0.6979166666666666,0.6041666666666666,0.75,0.625,0.6145833333333334,0.6666666666666666,0.625,0.6451388888888889,0.04033759925404891,0.3930555555555556,0.5107142857142857,0.5989583333333333,0.4435763888888889,0.4625,0.4543154761904762,0.5114583333333333,0.5375,0.42291666666666666,0.4208333333333333,0.4037202380952381,0.37187499999999996,0.4354166666666666,0.46964285714285714,0.48268849206349207,0.46127810846560846,0.05793999340786173,12,0.7355654761904762,0.6483495670995671,0.7338869463869464,0.6934523809523809,0.6762242965367966,0.6508451617826618,0.7087414321789322,0.6473214285714286,0.7633928571428572,0.5895108363858363,0.7644841269841269,0.7651352528190764,0.6724972943722944,0.7048498376623377,0.7020833333333334,0.6970893485599367,0.04915369673056873,0.3958333333333333,0.47916666666666663,0.5208333333333333,0.3958333333333333,0.45833333333333326,0.4375,0.5416666666666666,0.5416666666666666,0.375,0.41666666666666663,0.3958333333333333,0.35416666666666663,0.39583333333333326,0.4583333333333333,0.5,0.4444444444444444,0.059252025021393165,12,0.6875,0.6145833333333333,0.6458333333333334,0.625,0.59375,0.6666666666666667,0.625,0.6354166666666667,0.6979166666666666,0.6041666666666667,0.75,0.625,0.6145833333333334,0.6666666666666667,0.625,0.6451388888888889,0.04033759925404891,0.365625,0.4575892857142857,0.5136904761904763,0.37813852813852816,0.41870039682539684,0.4170634920634921,0.48124999999999996,0.5073908730158729,0.35272817460317457,0.3881448412698413,0.3744047619047619,0.33976648351648353,0.3895833333333333,0.42142857142857143,0.46294642857142854,0.4178967097717098,0.053579080281017086,12,0.6662169427794428,0.5902990187916659,0.6330445053742267,0.6229334901209902,0.5843203977395154,0.6334411750530171,0.6258582512258983,0.6057329822954823,0.6740013458763459,0.5685439195307617,0.7360597735597736,0.610943405612313,0.5833618689317218,0.6412632098293863,0.6311514874014874,0.6271447849414685,0.040953114918891156
0.005265204111735026,0.0021657389015885455,0.012435658772786459,0.0032517069359624903,7,distance,"{'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.4791666666666667,0.5,0.6041666666666666,0.5,0.5416666666666666,0.4583333333333333,0.6041666666666666,0.5625,0.4375,0.4375,0.4583333333333333,0.4375,0.4791666666666667,0.4791666666666667,0.5625,0.5027777777777778,0.056348507708613306,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5947916666666666,0.49970238095238095,0.593452380952381,0.5145833333333334,0.6052083333333333,0.4395833333333333,0.5736607142857142,0.5729166666666666,0.484375,0.46726190476190477,0.44479166666666664,0.4447916666666667,0.5385416666666667,0.5569196428571428,0.6267857142857143,0.5304910714285714,0.0619997113618077,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47916666666666663,0.49999999999999994,0.6041666666666666,0.5,0.5416666666666666,0.4583333333333333,0.6041666666666666,0.5625,0.43749999999999994,0.4375,0.45833333333333326,0.4375,0.47916666666666663,0.47916666666666663,0.5625,0.5027777777777778,0.05634850770861332,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4764384920634921,0.4720238095238095,0.5818452380952381,0.4675595238095238,0.5313492063492063,0.4342261904761905,0.5669642857142858,0.5320932539682539,0.4233225108225108,0.42217261904761905,0.4261904761904762,0.4207188644688645,0.47574404761904765,0.4729707792207792,0.5459821428571429,0.48330676268176276,0.05343856682417222,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00437016487121582,0.0008400626637105844,0.014948368072509766,0.0040667179281961945,9,uniform,"{'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.3541666666666667,0.4583333333333333,0.4583333333333333,0.3333333333333333,0.5,0.4375,0.4791666666666667,0.4375,0.3125,0.3958333333333333,0.4166666666666667,0.3541666666666667,0.3541666666666667,0.4583333333333333,0.4583333333333333,0.41388888888888886,0.056859693029052,13,0.6041666666666666,0.5104166666666666,0.59375,0.5625,0.625,0.6041666666666666,0.5625,0.6041666666666666,0.6041666666666666,0.53125,0.7083333333333334,0.5208333333333334,0.6145833333333334,0.6145833333333334,0.59375,0.5902777777777778,0.04715068110213321,0.30719696969696975,0.37708333333333327,0.48854166666666665,0.4095238095238095,0.4632440476190476,0.36093749999999997,0.4854166666666666,0.4166666666666667,0.3125,0.4423611111111111,0.4270833333333333,0.312405303030303,0.39657738095238093,0.46770833333333334,0.4973958333333333,0.41097613035113034,0.06340314400447002,13,0.5869791666666666,0.5704516974253817,0.7083468614718614,0.7060115231990232,0.7252367424242424,0.6426339285714285,0.6216517857142858,0.679046574770259,0.7076388888888889,0.5620783730158729,0.7502232142857143,0.6808818922305764,0.6999313186813186,0.7019312102371313,0.6822420634920635,0.6683523494049809,0.056232612656427844,0.35416666666666663,0.45833333333333326,0.4583333333333333,0.3333333333333333,0.5,0.43749999999999994,0.47916666666666663,0.4375,0.3125,0.3958333333333333,0.41666666666666663,0.35416666666666663,0.35416666666666663,0.45833333333333326,0.4583333333333333,0.41388888888888886,0.056859693029052,13,0.6041666666666667,0.5104166666666667,0.59375,0.5625,0.625,0.6041666666666666,0.5625,0.6041666666666667,0.6041666666666666,0.53125,0.7083333333333333,0.5208333333333334,0.6145833333333334,0.6145833333333334,0.59375,0.5902777777777778,0.04715068110213319,0.2997519841269841,0.3799946581196581,0.4318452380952381,0.31484036796536796,0.4372023809523809,0.37739448051948055,0.43597132034632036,0.3958333333333333,0.286359126984127,0.37797619047619047,0.38949314574314575,0.31934523809523807,0.3504960317460317,0.42959020146520144,0.43948863636363633,0.3777054889554889,0.051229719195504564,13,0.5674887612387611,0.4732995252296723,0.5686759013045778,0.5494613938692886,0.6059863339275104,0.5692866161616161,0.5524631618381619,0.5641903235653235,0.5895472582972583,0.4972166722166722,0.7001897408147408,0.48326465201465196,0.5826501897225581,0.5801792980411402,0.5833773865023865,0.5644851476496214,0.05263458124615525
0.004275051752726237,0.0009738766007521748,0.010114224751790364,0.0015793175794358233,9,distance,"{'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.4375,0.5208333333333334,0.5625,0.4583333333333333,0.5416666666666666,0.4791666666666667,0.5833333333333334,0.5,0.375,0.4583333333333333,0.4583333333333333,0.5,0.4375,0.5,0.5625,0.49166666666666664,0.05475112040118618,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47812499999999997,0.5876488095238095,0.5413690476190476,0.5122023809523809,0.546875,0.4354166666666667,0.5622023809523808,0.50625,0.35173611111111114,0.488095238095238,0.4614583333333333,0.4878472222222222,0.5132440476190476,0.5861111111111111,0.5528273809523809,0.5074272486772486,0.05978207712109003,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.43749999999999994,0.5208333333333333,0.5625,0.45833333333333326,0.5416666666666666,0.47916666666666663,0.5833333333333333,0.5,0.375,0.4583333333333333,0.45833333333333326,0.49999999999999994,0.43749999999999994,0.5,0.5625,0.4916666666666666,0.05475112040118618,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4115665584415584,0.5059523809523809,0.5297619047619048,0.4437003968253968,0.5009920634920635,0.43943452380952375,0.5452380952380953,0.46334325396825393,0.35074404761904765,0.44300595238095236,0.4348214285714286,0.4693452380952381,0.4319940476190476,0.49429563492063494,0.5296130952380953,0.46625390812890816,0.05042262024882402,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
