mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,split13_train_accuracy,split14_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,split13_test_precision_macro,split14_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,split13_train_precision_macro,split14_train_precision_macro,mean_train_precision_macro,std_train_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,split10_test_recall_macro,split11_test_recall_macro,split12_test_recall_macro,split13_test_recall_macro,split14_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_train_recall_macro,split1_train_recall_macro,split2_train_recall_macro,split3_train_recall_macro,split4_train_recall_macro,split5_train_recall_macro,split6_train_recall_macro,split7_train_recall_macro,split8_train_recall_macro,split9_train_recall_macro,split10_train_recall_macro,split11_train_recall_macro,split12_train_recall_macro,split13_train_recall_macro,split14_train_recall_macro,mean_train_recall_macro,std_train_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,split10_test_f1_macro,split11_test_f1_macro,split12_test_f1_macro,split13_test_f1_macro,split14_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,split5_train_f1_macro,split6_train_f1_macro,split7_train_f1_macro,split8_train_f1_macro,split9_train_f1_macro,split10_train_f1_macro,split11_train_f1_macro,split12_train_f1_macro,split13_train_f1_macro,split14_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.04960627555847168,0.007326609568370991,0.022504345575968424,0.0036958968894760824,0.001,linear,"{'classifier__C': 0.001, 'classifier__kernel': 'linear'}",0.4583333333333333,0.4583333333333333,0.3958333333333333,0.4791666666666667,0.4583333333333333,0.4166666666666667,0.4791666666666667,0.4583333333333333,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.4375,0.4791666666666667,0.4166666666666667,0.3958333333333333,0.4347222222222222,0.033042714592695345,36,0.7291666666666666,0.7083333333333334,0.7291666666666666,0.71875,0.6979166666666666,0.7083333333333334,0.6875,0.6666666666666666,0.7083333333333334,0.75,0.75,0.6458333333333334,0.6875,0.7291666666666666,0.71875,0.7090277777777777,0.02781247832569553,0.4069196428571428,0.47291666666666665,0.3626488095238095,0.59375,0.41874999999999996,0.3666666666666667,0.4954861111111111,0.47678571428571426,0.4068452380952381,0.36741071428571426,0.37410714285714286,0.6196969696969696,0.5672619047619047,0.42490530303030305,0.35277777777777775,0.4471285774410774,0.08498295710849338,36,0.7898809523809524,0.8174963924963925,0.826140873015873,0.8102915313852813,0.7566277472527473,0.8254464285714286,0.7876352813852814,0.727827380952381,0.7302827380952381,0.7705627705627706,0.8339871933621934,0.7630265567765568,0.7360615079365079,0.8003472222222223,0.7777744620575503,0.7835592692302252,0.034511060374014614,0.45833333333333326,0.4583333333333333,0.3958333333333333,0.47916666666666663,0.4583333333333333,0.41666666666666663,0.47916666666666663,0.45833333333333326,0.3958333333333333,0.39583333333333326,0.3958333333333333,0.4375,0.47916666666666663,0.41666666666666663,0.3958333333333333,0.4347222222222222,0.033042714592695324,36,0.7291666666666667,0.7083333333333333,0.7291666666666667,0.71875,0.6979166666666666,0.7083333333333334,0.6875,0.6666666666666666,0.7083333333333334,0.75,0.75,0.6458333333333333,0.6875,0.7291666666666667,0.71875,0.7090277777777777,0.027812478325695562,0.3906881313131313,0.4196428571428571,0.3577876984126984,0.48978174603174596,0.40420100732600733,0.3652281746031746,0.4527777777777777,0.4256944444444445,0.3794146825396825,0.3575892857142857,0.352621336996337,0.45833333333333337,0.46354166666666663,0.3780753968253968,0.3665178571428572,0.4041263597513597,0.043390814680739444,36,0.6866862304362304,0.7067533977460447,0.7135205480793716,0.7134768825945296,0.667362352559721,0.6799460955710956,0.6720762693189164,0.6421540265290264,0.6796203796203797,0.6990182611506142,0.7393091589782766,0.6357890647364332,0.655111555111555,0.711751443001443,0.6813655760267013,0.6855960827640225,0.027872720264313772
0.05874123573303223,0.014717397485493939,0.02598419189453125,0.007893185581296992,0.001,rbf,"{'classifier__C': 0.001, 'classifier__kernel': 'rbf'}",0.5,0.5416666666666666,0.5208333333333334,0.375,0.4791666666666667,0.5,0.5625,0.5,0.3958333333333333,0.4375,0.4791666666666667,0.4791666666666667,0.5,0.5208333333333334,0.5416666666666666,0.48888888888888893,0.05038432540893626,32,0.9270833333333334,0.8854166666666666,0.8958333333333334,0.8958333333333334,0.9166666666666666,0.90625,0.90625,0.8958333333333334,0.8854166666666666,0.875,0.9479166666666666,0.8854166666666666,0.90625,0.9375,0.8958333333333334,0.9041666666666667,0.019837301190396804,0.5398065476190476,0.515625,0.5182291666666666,0.32395833333333335,0.4348214285714285,0.4510416666666667,0.49375,0.521875,0.359375,0.37053571428571425,0.41770833333333335,0.43125,0.4984375,0.5447916666666667,0.5729166666666666,0.4662748015873016,0.07239430375850894,32,0.9404761904761905,0.9118303571428572,0.9208333333333334,0.9170386904761905,0.9363095238095238,0.9233630952380953,0.936620670995671,0.9231150793650794,0.9095238095238095,0.9117559523809524,0.9613095238095238,0.9055059523809524,0.9183035714285714,0.9571428571428572,0.9199404761904761,0.9262046055796057,0.016244030688579318,0.5,0.5416666666666666,0.5208333333333333,0.375,0.47916666666666663,0.49999999999999994,0.5625,0.5,0.39583333333333326,0.4375,0.47916666666666663,0.47916666666666663,0.5,0.5208333333333333,0.5416666666666666,0.4888888888888889,0.05038432540893626,32,0.9270833333333333,0.8854166666666667,0.8958333333333333,0.8958333333333334,0.9166666666666666,0.90625,0.90625,0.8958333333333334,0.8854166666666667,0.875,0.9479166666666667,0.8854166666666667,0.90625,0.9375,0.8958333333333333,0.9041666666666666,0.019837301190396797,0.462761544011544,0.494047619047619,0.4836940836940836,0.3333829365079365,0.4180059523809524,0.4441735347985348,0.4976190476190476,0.45950126262626256,0.3686507936507937,0.38363095238095235,0.42058531746031746,0.4334821428571428,0.4503111471861472,0.5030677655677656,0.5151289682539683,0.44453620453620446,0.05100599516851481,32,0.9230956543456543,0.8834852647352647,0.8943587662337662,0.8971486846486847,0.9175626456876458,0.9017399267399266,0.9086010802922567,0.8971486846486847,0.8858318764568764,0.8591835248085248,0.9472027972027972,0.8842865467865468,0.9004828504828505,0.9368808275058275,0.8947333916083916,0.9021161681455799,0.021451358896179534
0.061634254455566403,0.02838990393141998,0.026581525802612305,0.011938654640205711,0.001,sigmoid,"{'classifier__C': 0.001, 'classifier__kernel': 'sigmoid'}",0.5208333333333334,0.4791666666666667,0.5208333333333334,0.5208333333333334,0.5,0.4791666666666667,0.5,0.4375,0.375,0.4375,0.4375,0.3958333333333333,0.4375,0.4375,0.5,0.4652777777777778,0.04479032082388084,34,0.6770833333333334,0.6875,0.6875,0.6770833333333334,0.6770833333333334,0.6458333333333334,0.6979166666666666,0.6770833333333334,0.7083333333333334,0.6354166666666666,0.71875,0.6666666666666666,0.6354166666666666,0.6979166666666666,0.6979166666666666,0.6791666666666666,0.02411632688081297,0.5036458333333333,0.47291666666666665,0.49166666666666664,0.5947916666666666,0.4844246031746032,0.4563988095238095,0.4760416666666667,0.4538690476190476,0.3396577380952381,0.36302083333333335,0.4298611111111111,0.41354166666666664,0.402157738095238,0.45928030303030304,0.50625,0.45650162337662337,0.06022374944244991,34,0.6910984848484848,0.7556547619047619,0.7485119047619048,0.784733669108669,0.7180059523809523,0.6681074134199134,0.7724816849816849,0.7558514402264402,0.7120535714285714,0.6549038175876412,0.7523580586080586,0.7633443813131313,0.6269954004329004,0.7287946428571428,0.7950148809523809,0.7285273376541759,0.04784457156429737,0.5208333333333333,0.47916666666666663,0.5208333333333334,0.5208333333333333,0.5,0.47916666666666663,0.5,0.4375,0.37499999999999994,0.4375,0.4375,0.3958333333333333,0.4375,0.4375,0.5,0.46527777777777773,0.044790320823880826,34,0.6770833333333333,0.6875,0.6875,0.6770833333333333,0.6770833333333333,0.6458333333333334,0.6979166666666666,0.6770833333333333,0.7083333333333333,0.6354166666666667,0.71875,0.6666666666666667,0.6354166666666667,0.6979166666666666,0.6979166666666667,0.6791666666666666,0.02411632688081294,0.4664817821067821,0.44713203463203466,0.4696924603174603,0.5134844322344322,0.45610119047619047,0.4372519841269841,0.45325091575091575,0.40089285714285716,0.3476731601731602,0.38572781385281385,0.4075892857142857,0.36129426129426123,0.40155122655122655,0.4017857142857143,0.4754464285714286,0.42835703648203644,0.044633308462552417,34,0.6372094102792631,0.6791614635364636,0.6680989149739149,0.665534867179604,0.6487751831501831,0.6048832295155825,0.6851295086492455,0.6684215595206308,0.6838550338550338,0.5855772743880161,0.7093260540628962,0.6588542992954758,0.5911467821394292,0.6817337176712177,0.6910329254079255,0.6572493482416589,0.03601288460033208
0.049011818567911786,0.01752638851155589,0.021856323877970377,0.010293441079447664,0.1,linear,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.625,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8125,0.7083333333333334,0.7291666666666666,0.7708333333333334,0.6666666666666666,0.625,0.6041666666666666,0.7083333333333334,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.6944444444444445,0.056245713142546075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.575,0.7875,0.7614583333333333,0.696875,0.8385416666666666,0.725,0.7666666666666666,0.7395833333333333,0.7041666666666666,0.640625,0.6145833333333333,0.7854166666666667,0.75625,0.7083333333333333,0.696875,0.7197916666666667,0.06752807200904865,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8125,0.7083333333333333,0.7291666666666666,0.7708333333333333,0.6666666666666666,0.625,0.6041666666666666,0.7083333333333333,0.6458333333333333,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.056245713142546075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5818452380952381,0.7133928571428572,0.7174107142857142,0.6943452380952381,0.806845238095238,0.6924107142857143,0.7385416666666667,0.7392857142857142,0.6528273809523809,0.6166666666666667,0.5848214285714286,0.710218253968254,0.6293154761904762,0.6543154761904761,0.6549107142857142,0.6791435185185184,0.060060580937950206,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07118841807047525,0.0109115946263666,0.030171521504720054,0.006267176603096556,0.1,rbf,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf'}",0.5,0.5416666666666666,0.5208333333333334,0.375,0.4791666666666667,0.5,0.5625,0.5,0.3958333333333333,0.4375,0.4791666666666667,0.4791666666666667,0.5,0.5208333333333334,0.5416666666666666,0.48888888888888893,0.05038432540893626,32,0.9270833333333334,0.8854166666666666,0.8958333333333334,0.8958333333333334,0.9166666666666666,0.90625,0.90625,0.8958333333333334,0.8854166666666666,0.875,0.9479166666666666,0.8854166666666666,0.90625,0.9375,0.8958333333333334,0.9041666666666667,0.019837301190396804,0.5398065476190476,0.515625,0.5182291666666666,0.32395833333333335,0.4348214285714285,0.4510416666666667,0.49375,0.521875,0.359375,0.37053571428571425,0.41770833333333335,0.43125,0.4984375,0.5447916666666667,0.5729166666666666,0.4662748015873016,0.07239430375850894,32,0.9404761904761905,0.9118303571428572,0.9208333333333334,0.9170386904761905,0.9363095238095238,0.9233630952380953,0.936620670995671,0.9231150793650794,0.9095238095238095,0.9117559523809524,0.9613095238095238,0.9055059523809524,0.9183035714285714,0.9571428571428572,0.9199404761904761,0.9262046055796057,0.016244030688579318,0.5,0.5416666666666666,0.5208333333333333,0.375,0.47916666666666663,0.49999999999999994,0.5625,0.5,0.39583333333333326,0.4375,0.47916666666666663,0.47916666666666663,0.5,0.5208333333333333,0.5416666666666666,0.4888888888888889,0.05038432540893626,32,0.9270833333333333,0.8854166666666667,0.8958333333333333,0.8958333333333334,0.9166666666666666,0.90625,0.90625,0.8958333333333334,0.8854166666666667,0.875,0.9479166666666667,0.8854166666666667,0.90625,0.9375,0.8958333333333333,0.9041666666666666,0.019837301190396797,0.462761544011544,0.494047619047619,0.4836940836940836,0.3333829365079365,0.4180059523809524,0.4441735347985348,0.4976190476190476,0.45950126262626256,0.3686507936507937,0.38363095238095235,0.42058531746031746,0.4334821428571428,0.4503111471861472,0.5030677655677656,0.5151289682539683,0.44453620453620446,0.05100599516851481,32,0.9230956543456543,0.8834852647352647,0.8943587662337662,0.8971486846486847,0.9175626456876458,0.9017399267399266,0.9086010802922567,0.8971486846486847,0.8858318764568764,0.8591835248085248,0.9472027972027972,0.8842865467865468,0.9004828504828505,0.9368808275058275,0.8947333916083916,0.9021161681455799,0.021451358896179534
0.059856049219767254,0.015136901315879732,0.026254908243815104,0.006679662108019658,0.1,sigmoid,"{'classifier__C': 0.1, 'classifier__kernel': 'sigmoid'}",0.5208333333333334,0.4791666666666667,0.5208333333333334,0.5208333333333334,0.5,0.4791666666666667,0.5,0.4375,0.375,0.4375,0.4375,0.3958333333333333,0.4375,0.4375,0.5,0.4652777777777778,0.04479032082388084,34,0.6770833333333334,0.6875,0.6875,0.6770833333333334,0.6770833333333334,0.6458333333333334,0.6979166666666666,0.6770833333333334,0.7083333333333334,0.6354166666666666,0.71875,0.6666666666666666,0.6354166666666666,0.6979166666666666,0.6979166666666666,0.6791666666666666,0.02411632688081297,0.5036458333333333,0.47291666666666665,0.49166666666666664,0.5947916666666666,0.4844246031746032,0.4563988095238095,0.4760416666666667,0.4538690476190476,0.3396577380952381,0.36302083333333335,0.4298611111111111,0.41354166666666664,0.402157738095238,0.45928030303030304,0.50625,0.45650162337662337,0.06022374944244991,34,0.6910984848484848,0.7556547619047619,0.7485119047619048,0.784733669108669,0.7180059523809523,0.6681074134199134,0.7724816849816849,0.7558514402264402,0.7120535714285714,0.6549038175876412,0.7523580586080586,0.7633443813131313,0.6269954004329004,0.7287946428571428,0.7950148809523809,0.7285273376541759,0.04784457156429737,0.5208333333333333,0.47916666666666663,0.5208333333333334,0.5208333333333333,0.5,0.47916666666666663,0.5,0.4375,0.37499999999999994,0.4375,0.4375,0.3958333333333333,0.4375,0.4375,0.5,0.46527777777777773,0.044790320823880826,34,0.6770833333333333,0.6875,0.6875,0.6770833333333333,0.6770833333333333,0.6458333333333334,0.6979166666666666,0.6770833333333333,0.7083333333333333,0.6354166666666667,0.71875,0.6666666666666667,0.6354166666666667,0.6979166666666666,0.6979166666666667,0.6791666666666666,0.02411632688081294,0.4664817821067821,0.44713203463203466,0.4696924603174603,0.5134844322344322,0.45610119047619047,0.4372519841269841,0.45325091575091575,0.40089285714285716,0.3476731601731602,0.38572781385281385,0.4075892857142857,0.36129426129426123,0.40155122655122655,0.4017857142857143,0.4754464285714286,0.42835703648203644,0.044633308462552417,34,0.6372094102792631,0.6791614635364636,0.6680989149739149,0.665534867179604,0.6487751831501831,0.6048832295155825,0.6851295086492455,0.6684215595206308,0.6838550338550338,0.5855772743880161,0.7093260540628962,0.6588542992954758,0.5911467821394292,0.6817337176712177,0.6910329254079255,0.6572493482416589,0.03601288460033208
0.070163361231486,0.014067295596682558,0.033855406443277995,0.011363979655805368,1.0,linear,"{'classifier__C': 1, 'classifier__kernel': 'linear'}",0.625,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8125,0.7083333333333334,0.7291666666666666,0.7708333333333334,0.6666666666666666,0.625,0.6041666666666666,0.7083333333333334,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.6944444444444445,0.056245713142546075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.575,0.7875,0.7614583333333333,0.696875,0.8385416666666666,0.725,0.7666666666666666,0.7395833333333333,0.7041666666666666,0.640625,0.6145833333333333,0.7854166666666667,0.75625,0.7083333333333333,0.696875,0.7197916666666667,0.06752807200904865,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8125,0.7083333333333333,0.7291666666666666,0.7708333333333333,0.6666666666666666,0.625,0.6041666666666666,0.7083333333333333,0.6458333333333333,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.056245713142546075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5818452380952381,0.7133928571428572,0.7174107142857142,0.6943452380952381,0.806845238095238,0.6924107142857143,0.7385416666666667,0.7392857142857142,0.6528273809523809,0.6166666666666667,0.5848214285714286,0.710218253968254,0.6293154761904762,0.6543154761904761,0.6549107142857142,0.6791435185185184,0.060060580937950206,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07952909469604492,0.02048462035380882,0.031262906392415364,0.010418380901129074,1.0,rbf,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}",0.5625,0.6041666666666666,0.5208333333333334,0.4791666666666667,0.5625,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5208333333333334,0.5,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.5625,0.5625,0.55,0.03788383804718292,30,0.96875,0.9479166666666666,0.9583333333333334,0.9375,0.9479166666666666,0.96875,0.9479166666666666,0.9583333333333334,0.9479166666666666,0.9479166666666666,0.9583333333333334,0.9479166666666666,0.96875,0.96875,0.9583333333333334,0.9555555555555555,0.009672491859155653,0.4965773809523809,0.6166666666666667,0.46458333333333335,0.48125,0.56875,0.5520833333333333,0.5510416666666667,0.6674107142857143,0.5583333333333333,0.5085565476190477,0.4833333333333333,0.5193452380952381,0.5215773809523809,0.5864583333333333,0.5770833333333333,0.5435367063492063,0.05346548211562777,30,0.9732142857142858,0.9635416666666666,0.9665178571428572,0.9508928571428572,0.9575892857142858,0.9754464285714286,0.9660714285714286,0.965029761904762,0.9538690476190477,0.9575892857142858,0.9702380952380952,0.9561011904761905,0.9754464285714286,0.9791666666666666,0.9702380952380952,0.9653968253968254,0.008392270796434361,0.5625,0.6041666666666666,0.5208333333333333,0.47916666666666663,0.5625,0.6041666666666666,0.6041666666666666,0.5833333333333333,0.5208333333333333,0.5,0.5208333333333333,0.5208333333333333,0.5416666666666666,0.5625,0.5625,0.55,0.03788383804718294,30,0.96875,0.9479166666666667,0.9583333333333334,0.9375,0.9479166666666667,0.96875,0.9479166666666667,0.9583333333333334,0.9479166666666667,0.9479166666666666,0.9583333333333334,0.9479166666666667,0.96875,0.96875,0.9583333333333334,0.9555555555555556,0.009672491859155625,0.5135416666666667,0.5717261904761904,0.48735119047619047,0.43774038461538456,0.5273809523809523,0.5613095238095238,0.55,0.5681547619047619,0.5040178571428571,0.4602813852813853,0.4803571428571428,0.48467261904761905,0.5020833333333333,0.5414772727272728,0.5375992063492063,0.5151795658045658,0.03908496685700246,30,0.9673951048951048,0.9463744588744589,0.9587287712287713,0.9379224941724942,0.9471028971028972,0.9692182817182817,0.9511582167832169,0.958801615051615,0.9476252913752914,0.9459665334665335,0.959965034965035,0.947175740925741,0.968081918081918,0.9704545454545455,0.9588286713286713,0.9556533050283051,0.009890788593550325
0.06613709131876627,0.01975638558424043,0.026794926325480143,0.007524192779328571,1.0,sigmoid,"{'classifier__C': 1, 'classifier__kernel': 'sigmoid'}",0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5625,0.5416666666666666,0.5625,0.4583333333333333,0.5,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.5208333333333334,0.5416666666666666,0.5319444444444444,0.025077041785094144,31,0.7604166666666666,0.7395833333333334,0.71875,0.75,0.6979166666666666,0.7604166666666666,0.7083333333333334,0.78125,0.7395833333333334,0.7291666666666666,0.7916666666666666,0.7395833333333334,0.7395833333333334,0.78125,0.7395833333333334,0.745138888888889,0.025760051376376946,0.4819940476190476,0.5803571428571428,0.4916666666666667,0.6114583333333333,0.5219246031746032,0.521875,0.48541666666666666,0.5945684523809524,0.4657738095238095,0.4583333333333333,0.53125,0.5572916666666666,0.4671875,0.49479166666666663,0.5572916666666666,0.521412037037037,0.04765458473581358,31,0.7900568181818182,0.7841517857142858,0.798489010989011,0.8044642857142857,0.739745670995671,0.8236877705627705,0.7873855311355311,0.8285579004329005,0.7689123376623377,0.6829004329004329,0.8475961538461538,0.8355654761904762,0.7620670995670995,0.841308170995671,0.8115842490842491,0.7937648462648463,0.0419872796443791,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5625,0.5416666666666666,0.5625,0.45833333333333326,0.49999999999999994,0.5208333333333333,0.5208333333333333,0.5416666666666666,0.5208333333333333,0.5416666666666666,0.5319444444444444,0.02507704178509417,31,0.7604166666666666,0.7395833333333333,0.71875,0.75,0.6979166666666667,0.7604166666666667,0.7083333333333333,0.78125,0.7395833333333333,0.7291666666666667,0.7916666666666666,0.7395833333333334,0.7395833333333334,0.78125,0.7395833333333334,0.745138888888889,0.025760051376376946,0.46319444444444446,0.5260416666666666,0.4867063492063492,0.5252403846153846,0.49404761904761907,0.5162202380952381,0.4888392857142857,0.5257575757575758,0.43799603174603174,0.45124007936507937,0.48690476190476195,0.4926677489177489,0.4753111471861471,0.48113553113553115,0.5232638888888889,0.49163778351278353,0.026880156258534,31,0.7476123753697284,0.730367895992896,0.6969256072874493,0.7512237762237763,0.6920755918917684,0.7354953257526786,0.7080656368485316,0.7777365812292283,0.7299349547511311,0.6704683796595561,0.7930721690590112,0.7395791708291708,0.7184232026143791,0.7641340889502655,0.733238252975095,0.7325568672956444,0.0315261902992267
0.05242636998494466,0.008752450120526934,0.0205476442972819,0.0038373038212239307,2.0,linear,"{'classifier__C': 2, 'classifier__kernel': 'linear'}",0.625,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8125,0.7083333333333334,0.7291666666666666,0.7708333333333334,0.6666666666666666,0.625,0.6041666666666666,0.7083333333333334,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.6944444444444445,0.056245713142546075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.575,0.7875,0.7614583333333333,0.696875,0.8385416666666666,0.725,0.7666666666666666,0.7395833333333333,0.7041666666666666,0.640625,0.6145833333333333,0.7854166666666667,0.75625,0.7083333333333333,0.696875,0.7197916666666667,0.06752807200904865,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.8125,0.7083333333333333,0.7291666666666666,0.7708333333333333,0.6666666666666666,0.625,0.6041666666666666,0.7083333333333333,0.6458333333333333,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.056245713142546075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5818452380952381,0.7133928571428572,0.7174107142857142,0.6943452380952381,0.806845238095238,0.6924107142857143,0.7385416666666667,0.7392857142857142,0.6528273809523809,0.6166666666666667,0.5848214285714286,0.710218253968254,0.6293154761904762,0.6543154761904761,0.6549107142857142,0.6791435185185184,0.060060580937950206,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
